$ sh -c pmset -g log | grep -E "Sleep|Wake|DarkWake|Display is turned|Notification" | tail -400
2026-09-15 04:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 91:33:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 04:07:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 128:46:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 04:22:34 -0400 Assertions          	PID 65057(photolibraryd) Summary PreventUserIdleSystemSleep "Photos Migration" 00:00:00  id:0x0x100008a4d [System: PrevIdle]          
2026-09-15 04:22:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 10:51:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 04:22:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 14:58:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 04:22:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 91:48:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 04:22:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 129:01:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 04:37:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 11:06:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 04:37:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 15:13:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 04:37:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 92:03:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 04:37:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 129:16:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 04:41:49 -0400 Assertions          	PID 36421(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:30  id:0x0x100009c44 [System: PrevIdle]          
2026-09-15 04:52:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 11:21:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 04:52:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 15:28:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 04:52:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 92:18:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 04:52:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 129:31:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 05:07:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 11:36:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 05:07:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 15:43:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 05:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 92:33:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 05:07:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 129:46:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 05:22:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 11:51:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 05:22:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 15:58:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 05:22:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 92:48:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 05:22:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 130:01:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 05:37:34 -0400 Assertions          	PID 65057(photolibraryd) Summary PreventUserIdleSystemSleep "Photos Migration" 00:00:00  id:0x0x10000a180 [System: PrevIdle]          
2026-09-15 05:37:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 12:06:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 05:37:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 16:13:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 05:37:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 93:03:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 05:37:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 130:16:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 05:41:53 -0400 Assertions          	PID 40948(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:30  id:0x0x100008519 [System: PrevIdle]          
2026-09-15 05:52:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 12:21:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 05:52:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 16:28:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 05:52:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 93:18:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 05:52:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 130:31:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 06:07:34 -0400 Assertions          	PID 65057(photolibraryd) Summary PreventUserIdleSystemSleep "Photos Migration" 00:00:00  id:0x0x1000085cd [System: PrevIdle]          
2026-09-15 06:07:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 12:36:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 06:07:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 16:43:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 06:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 93:33:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 06:07:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 130:46:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 06:22:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 12:51:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 06:22:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 16:58:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 06:22:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 93:48:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 06:22:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 131:01:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 06:33:53 -0400 Assertions          	PID 351(powerd) Created InternalPreventSleep "Holding in darkwake for up to 20 seconds to query model for inactivity prediction" 00:00:00  id:0x0xd0000a74d [System: PrevIdle SRPrevSleep kCPU]          
2026-09-15 06:33:53 -0400 Assertions          	PID 351(powerd) Released InternalPreventSleep "Holding in darkwake for up to 20 seconds to query model for inactivity prediction" 00:00:00  id:0x0xd0000a74d [System: PrevIdle]          
2026-09-15 06:37:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 13:06:54  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 06:37:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 17:13:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 06:37:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 94:03:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 06:37:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 131:16:43 id:0x0x1000089f7 [System: PrevIdle]          
